GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AHZAE001,AHZAE002,AHZAE003,AHZAE004,AHZAE005,AHZAE006,AHZAE007,AHZAE008,AHZAE009,AHZAE010,AHZAE011,AHZAE012,AHZAE013,AHZAE014,AHZAE015,AHZAE016,AHZAE017,AHZAE018,AHZAE019,AHZAE020,AHZAE021,NAME_M,AHZAM001,AHZAM002,AHZAM003,AHZAM004,AHZAM005,AHZAM006,AHZAM007,AHZAM008,AHZAM009,AHZAM010,AHZAM011,AHZAM012,AHZAM013,AHZAM014,AHZAM015,AHZAM016,AHZAM017,AHZAM018,AHZAM019,AHZAM020,AHZAM021
"G09000100101011","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",1058,1058,970,33,0,34,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",262,262,247,49,12,56,12,12,37,12,37,12,12,12,12,12,12,12,12,12,12
"G09000100101012","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",600,574,554,0,0,20,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",146,148,141,12,12,32,12,12,12,12,12,42,42,12,12,12,12,12,12,12,12
"G09000100101013","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1221,1118,906,24,9,78,0,0,101,1,100,103,101,0,0,0,0,2,0,0,0,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",306,296,254,35,15,68,12,12,125,3,126,100,100,12,12,12,12,4,12,12,12
"G09000100101014","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1393,1314,1157,21,16,120,0,0,0,0,0,79,68,0,0,0,0,11,0,0,0,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",251,236,245,20,25,89,12,12,12,12,12,58,57,12,12,12,12,19,12,12,12
"G09000100101021","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1358,1197,1067,0,0,114,0,0,16,0,16,161,153,0,0,0,0,0,8,0,8,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",269,267,237,12,12,106,12,12,25,12,25,119,119,12,12,12,12,12,12,12,12
"G09000100101022","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1707,1680,1399,71,11,137,0,0,62,35,27,27,27,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",294,291,295,109,17,93,12,12,68,54,40,41,41,12,12,12,12,12,12,12,12
"G09000100101023","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1302,1278,1130,27,0,121,0,0,0,0,0,24,22,0,0,0,0,2,0,0,0,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",310,309,328,33,12,121,12,12,12,12,12,18,18,12,12,12,12,4,12,12,12
"G09000100102011","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",961,884,784,0,0,91,0,0,9,0,9,77,18,0,0,0,0,59,0,0,0,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",186,165,161,12,12,91,12,12,14,12,14,92,28,12,12,12,12,90,12,12,12
"G09000100102012","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",966,854,800,11,0,35,0,0,8,0,8,112,100,0,0,0,0,12,0,0,0,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",177,171,167,25,12,43,12,12,13,12,13,76,78,12,12,12,12,29,12,12,12
"G09000100102013","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1286,1109,964,11,0,134,0,0,0,0,0,177,146,0,0,31,0,0,0,0,0,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",227,219,214,17,12,95,12,12,12,12,12,137,119,12,12,48,12,12,12,12,12
