GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US090010101011,090010101011,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",1058,262,970,247,33,49,0,12,34,56,0,12,0,12,21,37,0,12,21,37
1500000US090010101012,090010101012,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",600,146,580,138,0,12,0,12,20,32,0,12,0,12,0,12,0,12,0,12
1500000US090010101013,090010101013,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1221,306,1007,258,24,35,9,15,78,68,0,12,2,4,101,125,1,3,100,126
1500000US090010101014,090010101014,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1393,251,1225,252,21,20,16,25,120,89,0,12,11,19,0,12,0,12,0,12
1500000US090010101021,090010101021,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1358,269,1220,250,0,12,0,12,114,106,0,12,0,12,24,28,0,12,24,28
1500000US090010101022,090010101022,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1707,294,1426,301,71,109,11,17,137,93,0,12,0,12,62,68,35,54,27,40
1500000US090010101023,090010101023,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1302,310,1152,330,27,33,0,12,121,121,0,12,2,4,0,12,0,12,0,12
1500000US090010102011,090010102011,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",961,186,802,165,0,12,0,12,91,91,0,12,59,90,9,14,0,12,9,14
1500000US090010102012,090010102012,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",966,177,900,172,11,25,0,12,35,43,0,12,12,29,8,13,0,12,8,13
1500000US090010102013,090010102013,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1286,227,1110,211,11,17,0,12,165,107,0,12,0,12,0,12,0,12,0,12
1500000US090010102021,090010102021,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",1188,277,1029,287,13,21,0,12,146,93,0,12,0,12,0,12,0,12,0,12
1500000US090010102022,090010102022,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",2094,282,1659,232,0,12,0,12,224,143,0,12,111,107,100,76,0,12,100,76
1500000US090010102023,090010102023,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1472,253,1243,272,0,12,0,12,219,130,0,12,10,17,0,12,0,12,0,12
1500000US090010102024,090010102024,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",611,155,493,116,0,12,0,12,86,103,0,12,0,12,32,51,0,12,32,51
1500000US090010103001,090010103001,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",735,200,687,200,0,12,0,12,24,27,0,12,0,12,24,39,0,12,24,39
1500000US090010103002,090010103002,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",1126,269,1054,272,9,14,0,12,30,36,0,12,0,12,33,41,8,12,25,39
1500000US090010103003,090010103003,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",513,201,339,124,10,16,0,12,121,170,0,12,0,12,43,59,0,12,43,59
1500000US090010103004,090010103004,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",807,195,775,188,12,28,0,12,9,14,0,12,11,25,0,12,0,12,0,12
1500000US090010103005,090010103005,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",867,179,823,185,17,25,0,12,27,30,0,12,0,12,0,12,0,12,0,12
1500000US090010104001,090010104001,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",678,208,535,125,8,12,0,12,105,163,0,12,3,9,27,42,0,12,27,42
1500000US090010104002,090010104002,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",1133,319,1093,319,0,12,0,12,40,48,0,12,0,12,0,12,0,12,0,12
1500000US090010104003,090010104003,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",1502,502,1058,419,327,332,0,12,0,12,0,12,10,18,107,113,0,12,107,113
1500000US090010104004,090010104004,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",1256,364,1201,362,33,40,8,20,0,12,0,12,0,12,14,21,0,12,14,21
1500000US090010104005,090010104005,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",616,249,538,263,0,12,0,12,0,12,0,12,78,96,0,12,0,12,0,12
1500000US090010104006,090010104006,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",635,294,442,190,0,12,0,12,193,175,0,12,0,12,0,12,0,12,0,12
