service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20190915,20191130
10,1,1,1,1,1,0,0,20190915,20200125
11,0,0,0,0,0,1,0,20190915,20200125
12,0,0,0,0,0,0,1,20190915,20200125
13,0,0,0,0,0,0,0,20190915,20200125
14,1,1,1,1,1,0,0,20180624,20191231
15,0,0,0,0,0,1,0,20180624,20191231
16,0,0,0,0,0,0,1,20180624,20191231
17,0,0,0,0,0,0,0,20180624,20191231
2,0,0,0,0,0,1,0,20190915,20191130
22,1,1,1,1,1,0,0,20190915,20200125
23,0,0,0,0,0,1,0,20190915,20200125
24,0,0,0,0,0,0,1,20190915,20200125
25,0,0,0,0,0,0,0,20190915,20200125
3,0,0,0,0,0,0,1,20190915,20191130
4,0,0,0,0,0,0,0,20190915,20191130
6,1,1,1,1,1,0,0,20190915,20191222
7,0,0,0,0,0,1,0,20190915,20191222
8,0,0,0,0,0,0,1,20190915,20191222
9,0,0,0,0,0,0,0,20190915,20191222
