"","shape_id","Positive","Negative"
"1",114177,220.55,-220.63
"2",114178,59.89,-51.88
"3",114179,212.73,-222.55
"4",114180,61.16,-61.16
"5",114182,142.68,-97.66
"6",114183,113.8,-156.93
"7",114184,150.64,-122.97
"8",114185,192.17,-192.17
"9",114186,164.26,-191.93
"10",114187,149.45,-149.45
"11",114188,97.79,-97.79
"12",114189,139.56,-139.56
"13",114191,110.86,-60.87
"14",114193,52.15,-103.17
"15",114195,168.91,-95.07
"16",114196,188.71,-188.71
"17",114197,131.75,-206.45
"18",114198,186.47,-186.47
"19",114199,137.43,-93.21
"20",114200,83.52,-127.75
"21",114201,19.41,-33.61
"22",114202,57.96,-42.89
"23",114203,22.73,-48.46
"24",114204,75.59,-82.66
"25",114205,133.74,-133.74
"26",114206,62.14,-62.14
"27",114207,54.89,-22.94
"28",114208,41.61,-41.61
"29",114209,27.05,-66.07
"30",114210,194.69,-164.4
"31",114211,237.09,-246.55
"32",114212,201.31,-201.31
"33",114213,188.63,-169.59
"34",114214,106.39,-106.39
"35",114215,63.24,-63.24
"36",114216,184.84,-156.14
"37",114217,132.28,-132.28
"38",114218,125.38,-110.12
"39",114219,147.15,-147.15
"40",114220,52.11,-34.65
"41",114221,16.9,-34.16
"42",114222,20.34,-18.6
"43",114223,12.67,-14.41
"44",114224,285.24,-329.4
"45",114225,172.54,-207.88
"46",116478,281.56,-245.27
"47",116486,53.96,-54.91
"48",116487,40.68,-40.68
"49",116488,56.86,-57.72
"50",121259,87.37,-87.27
"51",121260,52.42,-86.8
"52",121261,268.26,-188.96
"53",121262,282.56,-282.56
"54",121263,279.6,-279.6
"55",121264,197.18,-276.48
"56",121265,286.24,-286.24
"57",121266,278.2,-201.7
"58",121267,343.7,-343.7
"59",121269,101.67,-177.75
"60",121272,239.76,-246.78
"61",121273,131.35,-96.54
"62",121274,305.63,-305.63
"63",121277,158.52,-152.45
"64",121278,124.55,-158.83
"65",121279,115.82,-108.89
"66",121280,86.96,-86.72
"67",121281,300.84,-313.01
"68",121282,309.93,-270.33
"69",121283,149.17,-178.67
"70",121284,168.04,-168.04
"71",121285,154.7,-148.43
"72",121286,166.1,-166.1
"73",121287,45.8,-47.14
"74",121288,30.32,-35.94
"75",121289,8.9,-9.15
"76",121290,254.45,-225.23
"77",121291,237.32,-237.32
"78",121292,214.71,-214.71
"79",121293,263.8,-300.36
"80",121294,281.94,-281.94
"81",121295,267.54,-266.17
"82",121296,256.67,-258.04
"83",121297,275.05,-275.05
"84",121298,129.87,-92.09
"85",121299,58.12,-71.66
"86",121300,42.6,-58.56
"87",121301,53.42,-63.62
"88",121302,52.45,-47.02
"89",121303,47.17,-42.4
"90",121304,86.25,-77.08
"91",121305,36.83,-51.1
"92",121306,121,-121
"93",121307,53.19,-53.19
"94",121308,63.5,-63.5
"95",121309,41.81,-41.81
"96",121310,46.41,-46.41
"97",121311,46.38,-46.38
"98",121316,62.49,-67.14
"99",121317,96.4,-81.79
"100",121318,65.02,-79.58
"101",121319,71.62,-71.67
"102",121320,86.11,-51.26
"103",121321,111.2,-111.41
"104",121322,67.3,-101.89
"105",121323,73.9,-73.95
"106",121324,105.02,-90.41
"107",121325,71.11,-85.72
"108",121332,71.9,-69.06
"109",121333,71.9,-71.9
"110",121334,99.26,-99.26
"111",121335,83.75,-83.75
"112",121336,94.11,-94.11
"113",121337,102.86,-102.86
"114",121338,95.8,-95.8
"115",121339,66.56,-66.56
"116",121340,113.91,-113.91
"117",121341,112.35,-112.35
"118",121342,25.04,-25.04
"119",121343,75.18,-75.18
"120",121344,104.42,-104.42
"121",121346,114.25,-77.84
"122",121347,125.17,-125.17
"123",121348,112.44,-112.44
"124",121349,86.38,-103.44
"125",121350,64.84,-75.48
"126",121351,67.67,-69.49
"127",121352,101.66,-106.74
"128",121353,119.47,-119.47
"129",121354,106.74,-106.74
"130",121355,64.08,-64.08
"131",121356,66.91,-66.91
"132",121357,22.32,-36.93
"133",121358,40.34,-37.48
"134",121359,28.4,-31.26
"135",121360,31.86,-31.86
"136",121361,31.41,-18.61
"137",121362,36.94,-37.86
"138",121363,31.87,-31.87
"139",121364,44.89,-42.16
"140",121365,37.04,-38.17
"141",121366,39.91,-38.78
"142",121367,31.98,-33.11
"143",121368,32.94,-36.36
"144",121369,40.78,-31.55
"145",121370,39.44,-38.04
"146",121371,24.16,-23.49
"147",121372,119.09,-96.3
"148",121373,32.57,-66.66
"149",121374,35.41,-32.67
"150",121375,46.8,-46.8
"151",121376,26.35,-26.35
"152",121377,59.73,-59.73
"153",121378,32.28,-32.28
"154",121379,168.71,-130.73
"155",121380,128.5,-165.8
"156",121381,27.82,-26.4
"157",121382,17.53,-20.2
"158",121383,30.7,-28.32
"159",121384,19.91,-19.91
"160",121385,22.75,-17.74
"161",121386,17.12,-24.86
"162",121387,24.96,-23.36
"163",121388,23.26,-21.28
"164",121390,198.55,-202.25
"165",121391,218.42,-218.45
"166",121392,205.04,-178.17
"167",121394,186.53,-210.52
"168",121397,45.68,-34.89
"169",121398,27.76,-40.36
"170",121399,54.87,-61.57
"171",121401,137.2,-86.01
"172",121402,153.02,-159.91
"173",121403,99.31,-95.32
"174",121404,230.79,-232.87
"175",121405,15.69,-50.91
"176",121406,49.77,-27.17
"177",121407,15.92,-40.71
"178",121408,131.22,-115.51
"179",121409,124.37,-124.37
"180",121410,73.11,-89.11
"181",121411,136.65,-136.65
"182",121412,169.75,-169.75
"183",121413,139.54,-139.54
"184",121414,120.04,-120.04
"185",121415,38.78,-38.78
"186",121416,14.63,-14.63
"187",121418,129.23,-129.23
"188",121419,14.63,-14.63
"189",121420,120.61,-120.61
"190",121421,182.55,-147.64
"191",121422,184.45,-184.48
"192",121423,130.93,-130.93
"193",121424,203.78,-228.7
"194",121425,115.88,-88.55
"195",121426,150.26,-177.29
"196",121427,130.93,-106.31
"197",121428,203.78,-228.7
"198",121429,61.83,-51.09
"199",121430,52.49,-55.95
"200",121431,75.46,-73.63
"201",121432,54.34,-61.76
"202",121433,54.34,-54.34
"203",121434,54.34,-54.34
"204",121435,75.46,-68.04
"205",121436,93.61,-88.41
"206",121437,91.66,-81.05
"207",121438,194.41,-231.1
"208",121439,199.29,-197.48
"209",121440,127.16,-128.97
"210",121441,159.55,-159.55
"211",121442,206.59,-206.59
"212",121443,229.87,-228.06
"213",121444,127.16,-128.97
