"","service_id","block_id","start_seconds","end_seconds","dwell_minutes","total_driving_minutes","total_miles","unique_id"
"1",14,83343,18300,84540,336,823,266.9406709145,1
"2",14,83342,20580,85620,356,804,257.6770234981,2
"3",14,83347,18000,86386,300.233333333333,850.766666666667,217.9445733709,3
"4",14,83348,18900,35520,1163,219,53.9603547368,4
"5",14,83349,54000,67920,1208,182,44.3283585916,5
"6",14,83359,18000,86247,302.55,917.45,254.0981750865,6
"7",14,83360,19800,86393,330.116666666667,879.883333333333,241.4639628177,7
"8",14,83361,20400,73920,548,736,200.3755568943,8
"9",14,83365,18300,86280,307,753,234.2204546594,9
"10",14,83369,19680,85920,336,823,197.7953138168,10
"11",14,83374,18780,67260,632,682,149.7874447116,11
"12",14,83375,20580,35880,1185,211,50.7953394112,12
"13",14,83373,52200,86160,874,466,102.1231316323,13
"14",14,83380,52440,74940,1065,276,70.1247620679,14
"15",14,83381,19440,31740,1235,173,48.7191524889,15
"16",14,83379,20040,86340,335,884,233.713167375,16
"17",14,85203,59700,62100,1400,40,13.0063513607,17
"18",14,85204,25200,30900,1345,70,22.1302524392,18
"19",1,90250,14400,86271,242.15,949.85,328.3110612376,19
"20",1,90253,14520,86220,245,941,324.2339975582,20
"21",1,90258,57720,85680,974,364,125.5867841004,21
"22",1,90251,15300,86340,256,931,321.5216510061,22
"23",1,90252,19920,68640,628,672,231.9262286532,23
"24",1,90254,22140,69000,659,644,222.3025588794,24
"25",1,90256,55740,65160,1283,140,48.3578873895,25
"26",1,90257,57720,67320,1280,140,48.3578873895,26
"27",1,90255,21240,66600,684,616,212.5990429321,27
"28",1,92879,15420,32700,1152,252,87.0122588317,28
"29",1,90259,21240,32700,1249,168,57.9815571633,29
"30",1,90260,16320,34200,1142,252,87.0122588317,30
"31",1,90271,17700,86280,297,881,287.7546110273,31
"32",1,92882,16920,86280,284,896,289.581876727,32
"33",1,90273,19260,31920,1229,175,60.1961234073,33
"34",1,90274,21360,68880,648,646,206.8800685223,34
"35",1,90275,26760,86397,446.05,780.95,253.0998183008,35
"36",1,90276,53700,86160,899,424,137.4883999602,36
"37",1,90277,53100,68520,1183,205,63.4700029321,37
"38",1,90306,15240,86365,254.583333333333,950.416666666667,258.835196905,38
"39",1,90307,55800,86391,930.15,411.85,110.4273200876,39
"40",1,90308,17640,79080,416,861,230.6403013687,40
"41",1,90309,16800,34680,1142,253,72.7444000668,41
"42",1,90310,15600,71520,508,758,205.8260990321,42
"43",1,90311,16440,71280,526,762,206.3921680131,43
"44",1,90315,22680,85560,392,720,240.105210852,44
"45",1,90322,18780,85800,323,794,253.9056743507,45
"46",1,90323,18480,85740,319,797,253.5372013477,46
"47",1,90330,20880,86371,348.483333333333,896.516666666667,270.4560152099,47
"48",1,90331,21000,86337,351.05,893.95,267.9501502411,48
"49",1,90339,17520,70620,555,639,97.6793969258,49
"50",1,90340,17820,78420,430,722,111.6577589418,50
"51",1,90341,18720,86353,312.783333333333,812.216666666667,127.277286043,51
"52",1,90342,25260,31260,1340,80,12.4064176602,52
"53",1,90343,57300,67140,1276,132,18.6096264903,53
"54",1,90619,20100,85620,348,790,172.4633230259,54
"55",1,90368,36240,85740,615,617,249.8366884943,55
"56",1,90365,58320,77040,1128,250,84.3085493365,56
"57",1,90366,50640,68820,1137,231,95.1286689708,57
"58",1,90367,60180,66180,1340,92,33.7201264683,58
"59",1,90374,17760,37140,1117,270,113.0753547412,59
"60",1,90371,24600,69900,685,547,151.2595347477,60
"61",1,90372,25440,29880,1366,74,31.5035718371,61
"62",1,90373,24240,86391,404.15,737.85,150.8462608956,62
"63",1,90375,14760,27360,1230,184,58.1324881792,63
"64",1,92878,58260,66000,1311,108,48.1776897995,64
"65",1,90390,21540,68400,659,673,122.0753544423,65
"66",1,90391,19980,67680,645,675,121.9581638717,66
"67",1,90392,16260,86383,271.283333333333,903.716666666667,179.1185792585,67
"68",1,90393,19620,71280,579,719,129.3793219989,68
"69",1,90394,19500,68880,617,697,125.7096291471,69
"70",1,90395,20400,68160,644,676,123.1891619598,70
"71",1,90396,19800,86356,330.733333333333,790.266666666667,126.2923508709,71
"72",1,90397,20580,69480,625,620,97.7583110428,72
"73",1,90398,20280,70080,610,632,97.8298308449,73
"74",1,90399,19080,86382,318.3,811.7,131.5351686834,74
"75",1,90400,15300,65880,597,636,102.1741461914,75
"76",1,90413,23700,27180,1382,58,16.3636810108,76
"77",1,90414,20280,66300,673,607,140.7169815391,77
"78",1,90415,19500,31740,1236,165,46.3173671626,78
"79",1,90421,24780,29400,1363,72,21.2363481186,79
"80",1,92898,52620,67680,1189,209,37.69236486,80
"81",1,90424,23040,71100,639,670,181.015314236,81
"82",1,90420,22380,62880,765,558,159.5665815096,82
"83",1,90428,58500,67080,1297,131,32.9068139664,83
"84",1,90419,23580,65280,745,577,153.5073443402,84
"85",1,90429,58800,64500,1345,93,21.6455830592,85
"86",1,90418,20880,64080,720,605,157.4925072487,86
"87",1,90432,59160,67200,1306,100,26.7137334836,87
"88",1,90434,53040,64680,1246,140,29.1457174405,88
"89",1,90416,57840,68880,1256,164,41.0151462825,89
"90",1,90448,23400,68280,692,667,116.8120935239,90
"91",1,90449,22200,64680,732,621,112.2092257043,91
"92",1,90450,22800,65280,732,617,107.7808388615,92
"93",1,90451,16140,85200,289,930,164.7569556097,93
"94",1,90452,22020,32280,1269,148,27.8623999142,94
"95",1,90453,18000,72480,532,768,191.9543642797,95
"96",1,90454,20400,81600,420,847,154.8120370289,96
"97",1,92893,59700,67380,1312,86,13.0053571671,97
"98",1,90456,22200,69000,660,672,116.3689317267,98
"99",1,90457,21000,34980,1207,201,35.1039818224,99
"100",1,90458,23820,32580,1294,132,22.4136597523,100
"101",1,90459,21600,30900,1285,143,25.0877298508,101
"102",1,90460,56520,63540,1323,107,17.5002307069,102
"103",1,90461,56700,67740,1256,153,31.5322170402,103
"104",1,90462,54900,65100,1270,147,24.1027325416,104
"105",1,90463,21240,32100,1259,164,28.9644013827,105
"106",1,90464,47100,71100,1040,314,58.7780926482,106
"107",1,90465,39900,64200,1035,331,78.5007188737,107
"108",1,90478,18000,73680,512,690,169.7409724007,108
"109",1,90479,18300,81480,387,766,187.232752462,109
"110",1,90480,20160,79740,447,744,189.2544451476,110
"111",1,90481,22500,68580,672,553,124.6670307462,111
"112",1,90482,18360,67680,618,621,149.0699476179,112
"113",1,90483,23760,66720,724,539,134.9174774477,113
"114",1,90484,22740,67200,699,598,157.4990937813,114
"115",1,90485,55680,67080,1250,174,47.2613539858,115
"116",1,90494,16380,84360,307,884,207.0960570819,116
"117",1,90495,19560,66780,653,680,149.6152006704,117
"118",1,90496,24000,86368,400.533333333333,807.466666666667,187.1968993553,118
"119",1,90497,58800,69000,1270,156,34.4701834024,119
"120",1,90498,18000,66480,632,627,136.8555335967,120
"121",1,90499,17580,67800,603,728,161.0747110637,121
"122",1,90500,58800,69780,1257,158,34.5618356249,122
"123",1,90501,24060,30660,1330,103,23.0106730091,123
"124",1,90502,22380,65700,718,579,132.2570775112,124
"125",1,90426,20280,70080,610,708,164.7266327049,125
"126",1,90422,52560,61680,1288,127,40.3508385464,126
"127",1,90506,55200,66780,1247,154,27.173175201,127
"128",1,90507,22320,64080,744,533,101.7685773397,128
"129",1,90508,54300,72780,1132,233,44.7704640581,129
"130",1,90509,22200,32880,1262,147,27.173175201,130
"131",1,90514,18840,81300,399,866,244.8047639992,131
"132",1,90515,18900,72600,545,816,183.019235711,132
"133",1,90684,22800,65700,725,394,170.2936197681,133
"134",1,90455,15900,65880,607,712,174.5396342224,134
"135",1,93164,59040,64380,1351,83,24.9520224244,135
"136",1,90537,20700,31200,1265,157,29.1736169984,136
