route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10738,googleha_transit,101,,,3,,FF0000,FFFFFF
10739,googleha_transit,102,,,3,,00E100,FFFFFF
10740,googleha_transit,121,,,3,,0000FF,FFFFFF
10741,googleha_transit,128,,,3,,950095,FFFFFF
10742,googleha_transit,140,,,3,,0000FF,FFFFFF
10743,googleha_transit,144,,,3,,804040,FFFFFF
10744,googleha_transit,153,,,3,,FF8040,FFFFFF
10745,googleha_transit,161,,,3,,8000FF,FFFFFF
10746,googleha_transit,30,,,3,,FF0000,FFFFFF
10747,googleha_transit,31-33,,,3,,0000FF,FFFFFF
10748,googleha_transit,32,,,3,,FF8040,FFFFFF
10749,googleha_transit,37-39,,,3,,8000FF,FFFFFF
10750,googleha_transit,38,,,3,,0000FF,FFFFFF
10751,googleha_transit,40-42,,,3,,CD1BA0,FFFFFF
10752,googleha_transit,41,,,3,,FF0000,FFFFFF
10753,googleha_transit,43,,,3,,6B52AD,FFFFFF
10754,googleha_transit,44,,,3,,0064AE,FFFFFF
10755,googleha_transit,45,,,3,,7DC181,FFFFFF
10756,googleha_transit,46,,,3,,8000FF,FFFFFF
10757,googleha_transit,47,,,3,,FF0000,FFFFFF
10758,googleha_transit,50-54,,,3,,E007A5,FFFFFF
10759,googleha_transit,53,,,3,,0000FF,FFFFFF
10760,googleha_transit,542,,,3,,FF0000,FFFFFF
10761,googleha_transit,55,,,3,,0000FF,FFFFFF
10762,googleha_transit,56,,,3,,000000,FFFFFF
10763,googleha_transit,58,,,3,,35588C,FFFFFF
10764,googleha_transit,59,,,3,,BE4193,FFFFFF
10765,googleha_transit,60-66,,,3,,8000FF,FFFFFF
10766,googleha_transit,61,,,3,,FF0000,FFFFFF
10767,googleha_transit,63,,,3,,0000FF,FFFFFF
10768,googleha_transit,69,,,3,,004080,FFFFFF
10769,googleha_transit,72,,,3,,FF0000,FFFFFF
10770,googleha_transit,74,,,3,,0000A0,FFFFFF
10771,googleha_transit,76,,,3,,FA6D05,FFFFFF
10772,googleha_transit,80,,,3,,8000FF,FFFFFF
10773,googleha_transit,82-84,,,3,,867DB0,FFFFFF
10774,googleha_transit,83,,,3,,FF8000,FFFFFF
10775,googleha_transit,85,,,3,,4040FF,FFFFFF
10776,googleha_transit,86,,,3,,FF0000,FFFFFF
10777,googleha_transit,87,,,3,,FF5353,FFFFFF
10778,googleha_transit,88,,,3,,FF0000,FFFFFF
10779,googleha_transit,901,,,3,,002F00,FFFFFF
10780,googleha_transit,902,,,3,,FF0080,FFFFFF
10781,googleha_transit,903,,,3,,00B0B0,FFFFFF
10782,googleha_transit,904,,,3,,008080,FFFFFF
10783,googleha_transit,905,,,3,,FF0000,FFFFFF
10784,googleha_transit,906,,,3,,444DBB,FFFFFF
10785,googleha_transit,907,,,3,,7D003F,FFFFFF
10786,googleha_transit,909,,,3,,000080,FFFFFF
10787,googleha_transit,91,,,3,,FF0000,FFFFFF
10788,googleha_transit,910,,,3,,1C1CFF,FFFFFF
10789,googleha_transit,912,,,3,,004000,FFFFFF
10790,googleha_transit,913,,,3,,535300,FFFFFF
10791,googleha_transit,914,,,3,,0000A0,FFFFFF
10792,googleha_transit,915,,,3,,000000,FFFFFF
10793,googleha_transit,917,,,3,,004000,FFFFFF
10794,googleha_transit,918,,,3,,B35900,FFFFFF
10795,googleha_transit,919,,,3,,6262FF,FFFFFF
10796,googleha_transit,92,,,3,,FF0080,FFFFFF
10797,googleha_transit,921,,,3,,004080,FFFFFF
10798,googleha_transit,923,,,3,,FF0000,FFFFFF
10799,googleha_transit,924,,,3,,804000,FFFFFF
10800,googleha_transit,925,,,3,,FF00FF,FFFFFF
10801,googleha_transit,926,,,3,,FF0000,FFFFFF
10802,googleha_transit,927,,,3,,800080,FFFFFF
10803,googleha_transit,928,,,3,,0000FF,FFFFFF
10804,googleha_transit,94,,,3,,8000FF,FFFFFF
10805,googleha_transit,95,,,3,,FF0000,FFFFFF
10806,googleha_transit,950,,,3,,FF00FF,FFFFFF
10807,googleha_transit,96,,,3,,8000FF,FFFFFF
10808,googleha_transit,AHS,,,3,,FF0000,FFFFFF
10809,googleha_transit,CBS,,,3,,008000,FFFFFF
10810,googleha_transit,DASH,,,3,,400000,FFFFFF
