"","trip_id","distance","end","start","trip_duration"
"1","1096704",2.2836005621,"24:40:00","24:30:00",600
"2","1096705",11.233144938,"23:29:00","23:00:00",1740
"3","1096706",11.233144938,"21:59:00","21:30:00",1740
"4","1096707",11.233144938,"20:29:00","20:00:00",1740
"5","1096708",11.233144938,"19:29:00","19:00:00",1740
"6","1096709",11.233144938,"18:29:00","18:00:00",1740
"7","1096710",11.233144938,"17:29:00","17:00:00",1740
"8","1096711",11.233144938,"16:29:00","16:00:00",1740
"9","1096712",11.233144938,"15:29:00","15:00:00",1740
"10","1096713",11.233144938,"14:29:00","14:00:00",1740
"11","1096714",11.233144938,"13:29:00","13:00:00",1740
"12","1096715",11.5827903997,"12:29:00","12:00:00",1740
"13","1096716",11.5827903997,"11:29:00","11:00:00",1740
"14","1096717",11.5827903997,"10:29:00","10:00:00",1740
"15","1096718",11.5827903997,"9:29:00","9:00:00",1740
"16","1096719",11.5827903997,"8:29:00","8:00:00",1740
"17","1096720",11.5827903997,"7:29:00","7:00:00",1740
"18","1096721",9.5823486023,"24:13:00","23:50:00",1380
"19","1096722",9.5823486023,"22:43:00","22:20:00",1380
"20","1096723",9.5823486023,"21:13:00","20:50:00",1380
"21","1096724",9.5823486023,"19:53:00","19:30:00",1380
"22","1096725",9.5823486023,"18:53:00","18:30:00",1380
"23","1096726",9.5823486023,"17:53:00","17:30:00",1380
"24","1096727",9.5823486023,"16:53:00","16:30:00",1380
"25","1096728",9.5823486023,"15:53:00","15:30:00",1380
"26","1096729",9.5823486023,"14:53:00","14:30:00",1380
"27","1096730",9.5823486023,"13:53:00","13:30:00",1380
"28","1096731",9.5823486023,"12:53:00","12:30:00",1380
"29","1096732",9.5823486023,"11:53:00","11:30:00",1380
"30","1096733",9.5823486023,"10:53:00","10:30:00",1380
"31","1096734",9.5823486023,"9:53:00","9:30:00",1380
"32","1096735",9.5823486023,"8:53:00","8:30:00",1380
"33","1096736",9.5823486023,"7:53:00","7:30:00",1380
"34","1096737",2.3191429833,"6:53:00","6:43:00",600
"35","1096738",2.2836005621,"20:10:00","20:00:00",600
"36","1096739",11.233144938,"19:29:00","19:00:00",1740
"37","1096740",11.233144938,"18:29:00","18:00:00",1740
"38","1096741",11.233144938,"17:29:00","17:00:00",1740
"39","1096742",11.233144938,"16:29:00","16:00:00",1740
"40","1096743",11.233144938,"15:29:00","15:00:00",1740
"41","1096744",11.233144938,"14:29:00","14:00:00",1740
"42","1096745",11.233144938,"13:29:00","13:00:00",1740
"43","1096746",11.233144938,"12:29:00","12:00:00",1740
