Level of Care,FACILITY NAME,FACILITY TELEPHONE,TOWN,COUNTY,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,Location 1
CCNH/RHNS,Harbor View Manor,(203) 932-6411,West Haven,NEW_HAVEN,For Profit,1,1,90,89,81,1,1,430,399,,430,399,,82,0,0,1,1,0,6,6,22,35,11,0,17,65,0,12,15,51,0,4,0,74,5,3,0,0,0,55,0,0,2,0,13,4,0,0,0,0,0,6,2,2013,"308 Savin Avenue CT 06516- (41.2606220990005, -72.95081671899965)
West Haven, CT"
CCNH,"Mary Wade Home, Inc.",(203) 562-7222,New Haven,NEW_HAVEN,Non-profit,1,1,94,94,93,0,0,440,400,,,,,93,0,0,0,0,0,1,5,22,56,9,0,14,79,0,12,15,59,0,7,0,80,10,2,1,0,0,59,0,0,1,0,7,2,0,0,0,3,0,21,0,2013,"118 Clinton Avenue CT 06513- (41.31223280100045, -72.89118613499966)
New Haven, CT"
CCNH,Kindred Nursing and Rehabilitation - Crossings East,(860) 447-1416,New London,NEW_LONDON,For Profit,1,1,128,128,120,0,0,415,395,345,,,,120,0,0,0,3,5,19,32,30,27,4,0,49,71,0,17,39,48,1,15,0,104,9,7,0,0,0,88,0,0,13,0,11,0,0,0,0,0,0,4,4,2013,"78 Viets Street Extension CT 06320- (41.33961280700049, -72.11095886199962)
New London, CT"
CCNH/RHNS,Crestfield Rehabilitation Center and Fenwood Manor,(860) 643-5151,Manchester,HARTFORD,For Profit,1,1,155,95,90,60,26,405,350,,370,310,,116,0,0,0,2,0,6,14,37,45,12,0,32,84,0,24,15,67,0,10,0,111,4,0,0,1,0,65,0,0,8,0,22,1,0,0,0,0,3,17,0,2013,"565 Vernon Street CT 06040- (41.769869361000474, -72.52829727999966)
Manchester, CT"
CCNH,Skyview Center,(203) 265-0981,Wallingford,NEW_HAVEN,For Profit,1,1,97,97,86,0,0,370,355,,,,,86,0,0,0,0,1,8,10,20,35,12,0,25,61,0,15,6,54,1,10,0,80,2,4,0,0,0,60,0,0,9,0,9,2,0,0,0,1,0,4,1,2013,"35 Marc Drive CT 06492- (41.45308829400045, -72.84639281399967)
Wallingford, CT"
CCNH,Westfield Care and Rehabilitation Center,(203) 238-1291,Meriden,NEW_HAVEN,For Profit,1,1,100,100,80,0,0,434,387,365,,,,80,0,0,0,0,2,8,9,45,12,4,0,28,52,0,6,13,59,0,2,0,67,3,10,0,0,0,70,0,0,2,0,1,4,0,0,0,0,0,2,1,2013,"65 Westfield Road CT 06450- (41.54795278800049, -72.78091391799967)
Meriden, CT"
CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,Forestville,HARTFORD,For Profit,1,1,120,120,85,0,0,375,348,321,,,,85,0,0,1,5,6,17,13,24,18,1,0,40,45,0,16,25,29,3,12,0,75,3,6,0,1,0,65,0,0,6,0,5,0,2,0,0,0,3,4,0,2013,"23 Fair Street CT 06010- (41.6798633890005, -72.90254811499966)
Forestville, CT"
CCNH,"Matulaitis Nursing Home, Inc.",(860) 928-7976,Putnam,WINDHAM,Non-profit,1,1,119,119,114,0,0,367,345,,,,,114,0,0,0,0,1,2,3,26,63,19,0,25,89,0,23,18,71,0,2,0,112,2,0,0,0,0,75,0,0,7,0,15,3,0,0,0,0,0,14,0,2013,"10 Thurber Road CT 06260- (41.93161670800049, -71.85295976199967)
Putnam, CT"
CCNH,Maple View Center for Health and Rehabilitation,(860) 563-2861,Rocky Hill,HARTFORD,For Profit,1,1,120,120,120,0,0,414,374,,,,,120,0,0,0,0,1,1,12,42,55,9,0,24,96,0,24,22,65,9,0,0,106,8,5,1,0,0,81,0,0,7,0,16,5,0,0,0,0,1,8,2,2013,"856 Maple Street CT 06067- (41.6739566280005, -72.66663693899966)
Rocky Hill, CT"
CCNH,"Middlebury Convalescent Home, Inc.",(203) 758-2471,Middlebury,NEW_HAVEN,For Profit,1,1,58,58,54,0,0,365,340,,,,,54,0,0,0,0,0,0,1,7,32,14,0,9,45,0,7,3,43,0,1,0,54,0,0,0,0,0,31,0,0,2,0,3,0,0,0,1,3,0,13,1,2013,"PO Box L, 778 Middlebury Road CT 06762- (41.52917778200049, -73.11518586299962)
Middlebury, CT"
