"","trip_id","distance","end","start","trip_duration"
"1","1096704",3.6751,"24:40:00","24:30:00",600
"2","1096705",18.078,"23:29:00","23:00:00",1740
"3","1096706",18.078,"21:59:00","21:30:00",1740
"4","1096707",18.078,"20:29:00","20:00:00",1740
"5","1096708",18.078,"19:29:00","19:00:00",1740
"6","1096709",18.078,"18:29:00","18:00:00",1740
"7","1096710",18.078,"17:29:00","17:00:00",1740
"8","1096711",18.078,"16:29:00","16:00:00",1740
"9","1096712",18.078,"15:29:00","15:00:00",1740
"10","1096713",18.078,"14:29:00","14:00:00",1740
"11","1096714",18.078,"13:29:00","13:00:00",1740
"12","1096715",18.6407,"12:29:00","12:00:00",1740
"13","1096716",18.6407,"11:29:00","11:00:00",1740
"14","1096717",18.6407,"10:29:00","10:00:00",1740
"15","1096718",18.6407,"9:29:00","9:00:00",1740
"16","1096719",18.6407,"8:29:00","8:00:00",1740
"17","1096720",18.6407,"7:29:00","7:00:00",1740
"18","1096721",15.4213,"24:13:00","23:50:00",1380
"19","1096722",15.4213,"22:43:00","22:20:00",1380
"20","1096723",15.4213,"21:13:00","20:50:00",1380
"21","1096724",15.4213,"19:53:00","19:30:00",1380
"22","1096725",15.4213,"18:53:00","18:30:00",1380
"23","1096726",15.4213,"17:53:00","17:30:00",1380
"24","1096727",15.4213,"16:53:00","16:30:00",1380
"25","1096728",15.4213,"15:53:00","15:30:00",1380
"26","1096729",15.4213,"14:53:00","14:30:00",1380
"27","1096730",15.4213,"13:53:00","13:30:00",1380
"28","1096731",15.4213,"12:53:00","12:30:00",1380
"29","1096732",15.4213,"11:53:00","11:30:00",1380
"30","1096733",15.4213,"10:53:00","10:30:00",1380
"31","1096734",15.4213,"9:53:00","9:30:00",1380
"32","1096735",15.4213,"8:53:00","8:30:00",1380
"33","1096736",15.4213,"7:53:00","7:30:00",1380
"34","1096737",3.7323,"6:53:00","6:43:00",600
"35","1096738",3.6751,"20:10:00","20:00:00",600
"36","1096739",18.078,"19:29:00","19:00:00",1740
"37","1096740",18.078,"18:29:00","18:00:00",1740
"38","1096741",18.078,"17:29:00","17:00:00",1740
"39","1096742",18.078,"16:29:00","16:00:00",1740
"40","1096743",18.078,"15:29:00","15:00:00",1740
"41","1096744",18.078,"14:29:00","14:00:00",1740
"42","1096745",18.078,"13:29:00","13:00:00",1740
"43","1096746",18.078,"12:29:00","12:00:00",1740
"44","1096747",18.078,"11:29:00","11:00:00",1740
"45","1096748",18.078,"10:29:00","10:00:00",1740
"46","1096749",18.078,"9:29:00","9:00:00",1740
"47","1096750",18.078,"8:29:00","8:00:00",1740
"48","1096751",15.4213,"17:53:00","17:30:00",1380
"49","1096752",15.4213,"14:53:00","14:30:00",1380
"50","1096753",15.4213,"11:53:00","11:30:00",1380
"51","1096754",15.4213,"9:53:00","9:30:00",1380
"52","1096755",3.7323,"7:53:00","7:43:00",600
"53","1096756",15.4213,"19:53:00","19:30:00",1380
"54","1096757",15.4213,"18:53:00","18:30:00",1380
"55","1096758",15.4213,"16:53:00","16:30:00",1380
"56","1096759",15.4213,"15:53:00","15:30:00",1380
"57","1096760",15.4213,"13:53:00","13:30:00",1380
"58","1096761",15.4213,"12:53:00","12:30:00",1380
"59","1096762",15.4213,"10:53:00","10:30:00",1380
"60","1096763",15.4213,"8:53:00","8:30:00",1380
"61","1096764",3.6751,"24:40:00","24:30:00",600
"62","1096765",18.6407,"6:29:00","6:00:00",1740
"63","1096766",18.078,"23:29:00","23:00:00",1740
"64","1096767",18.078,"21:59:00","21:30:00",1740
